index,y,x,signed_curvature,curvature,radius,selected
0,4.0,5.0,0.5026918524024105,0.5026918524024105,1.989290248530801,0
1,4.0,4.7607302495360155,0.2229445644487951,0.2229445644487951,4.485419962905961,1
2,4.0,4.521460499072031,0.05552198369662121,0.05552198369662121,18.010883859339756,0
3,4.0,4.282190748608047,0.0,0.0,inf,0
4,4.0,4.042920998144063,0.0,0.0,inf,0
5,4.0,3.8036512476800786,0.0,0.0,inf,0
6,4.0,3.564381497216094,0.0,0.0,inf,0
7,4.0,3.3251117467521096,0.0,0.0,inf,0
8,4.0,3.085841996288125,0.0,0.0,inf,0
9,4.0,2.846572245824141,0.0,0.0,inf,0
10,4.0,2.6073024953601567,0.0,0.0,inf,0
11,4.0,2.368032744896172,0.0,0.0,inf,0
12,4.0,2.128762994432188,0.0,0.0,inf,1
13,4.0,1.8894932439682037,0.0,0.0,inf,0
14,4.0,1.6502234935042193,0.0,0.0,inf,0
15,4.0,1.4109537430402352,0.0,0.0,inf,0
16,4.0,1.1716839925762508,0.0,0.0,inf,0
17,4.0,0.9324142421122668,0.0,0.0,inf,0
18,4.0,0.6931444916482823,0.0,0.0,inf,0
19,4.0,0.4538747411842978,0.0,0.0,inf,0
20,4.0,0.21460499072031336,0.0,0.0,inf,0
21,4.0,-0.024664759743671105,0.0,0.0,inf,0
22,4.0,-0.26393451020765557,0.0,0.0,inf,0
23,4.0,-0.5032042606716391,0.0,0.0,inf,1
24,4.0,-0.7424740111356236,0.0,0.0,inf,0
25,4.0,-0.9817437615996081,0.0,0.0,inf,0
26,4.0,-1.2210135120635925,0.0,0.0,inf,0
27,4.0,-1.460283262527577,0.0,0.0,inf,0
28,4.0,-1.6995530129915615,0.0,0.0,inf,0
29,4.0,-1.938822763455545,0.0,0.0,inf,0
30,4.0,-2.1780925139195295,0.0,0.0,inf,0
31,4.0,-2.417362264383514,0.0,0.0,inf,0
32,4.0,-2.6566320148474984,0.0,0.0,inf,0
33,4.0,-2.895901765311483,0.0,0.0,inf,0
34,4.0,-3.1351715157754665,0.0,0.0,inf,0
35,4.0,-3.374441266239451,0.0,0.0,inf,1
36,4.0,-3.6137110167034354,0.0,0.0,inf,0
37,4.0,-3.85298076716742,0.0,0.0,inf,0
38,4.0,-4.092250517631404,0.0,0.0,inf,0
39,4.0,-4.331520268095389,0.002363261464071362,0.002363261464071362,423.1440385259901,0
40,4.0,-4.570790018559373,0.08079178778501532,0.08079178778501532,12.377495626919062,0
41,4.0,-4.810059769023358,0.2716209624558205,0.2716209624558205,3.6816009742350104,0
42,3.9987823776059654,-5.049309652552132,0.5685474706667066,0.5685474706667066,1.758868083305957,1
43,3.9586320939328283,-5.28460752532264,0.8199081613536674,0.8199081613536674,1.2196487937734406,0
44,3.863873910238943,-5.503691096559506,0.9638432187958021,0.9638432187958021,1.0375131354343823,1
45,3.7198932141875245,-5.694076455532946,1.0000032007172464,1.0000032007172464,0.9999967992929982,0
46,3.534888807048521,-5.844908209958337,0.9763237081143573,0.9763237081143573,1.0242504526816933,1
47,3.3194143308104658,-5.947609951855353,0.8487539121831255,0.8487539121831255,1.1781978093365677,1
48,3.0857361797872622,-5.996308658057999,0.614090749939074,0.614090749939074,1.6284238121144365,0
49,2.8465722458241545,-6.0,0.31076131870931434,0.31076131870931434,3.2179037087154287,0
50,2.607302495360168,-6.0,0.10255458282713743,0.10255458282713743,9.75090505400004,0
51,2.3680327448961807,-6.0,0.007165640787885542,0.007165640787885542,139.55486042373647,0
52,2.1287629944321944,-6.0,0.0,0.0,inf,1
53,1.889493243968209,-6.0,0.0,0.0,inf,0
54,1.6502234935042224,-6.0,0.0,0.0,inf,0
55,1.4109537430402357,-6.0,0.0,0.0,inf,0
56,1.1716839925762488,-6.0,0.0,0.0,inf,0
57,0.9324142421122622,-6.0,0.0,0.0,inf,0
58,0.6931444916482772,-6.0,0.0,0.0,inf,0
59,0.45387474118429033,-6.0,0.0,0.0,inf,0
60,0.2146049907203036,-6.0,0.0,0.0,inf,0
61,-0.02466475974368265,-6.0,0.0,0.0,inf,0
62,-0.263934510207668,-6.0,0.0,0.0,inf,0
63,-0.5032042606716531,-6.0,0.0,0.0,inf,1
64,-0.7424740111356396,-6.0,0.0,0.0,inf,0
65,-0.9817437615996232,-6.0,0.0,0.0,inf,0
66,-1.221013512063608,-6.0,0.0,0.0,inf,0
67,-1.4602832625275948,-6.0,0.0,0.0,inf,0
68,-1.6995530129915684,-6.0,0.0,0.0,inf,0
69,-1.9388227634555455,-6.0,0.0,0.0,inf,0
70,-2.1780925139195197,-6.0,0.0,0.0,inf,0
71,-2.417362264383496,-6.0,0.017733671417476234,0.017733671417476234,56.38990237602558,0
72,-2.65663201484747,-6.0,0.13615307065518098,0.13615307065518098,7.344674601813304,0
73,-2.8959017653114474,-6.0,0.36774974199905197,0.36774974199905197,2.7192405209153834,1
74,-3.1347596617185576,-5.9908696620233854,0.6714482814206917,0.6714482814206917,1.4893179827404404,0
75,-3.3657518251231986,-5.930706166508783,0.8837933341841853,0.8837933341841853,1.1314862438095703,1
76,-3.5759003174162,-5.817505194821851,0.9890500854279916,0.9890500854279916,1.0110711426381103,0
77,-3.7532428668619624,-5.657734991545967,1.0000023159045293,1.0000023159045293,0.9999976841008341,1
78,-3.8876593616846677,-5.4604807186619375,0.942924520380135,0.942924520380135,1.0605302740423543,1
79,-3.9715001360879407,-5.236991500468717,0.7770262340341992,0.7770262340341992,1.2869578351404634,0
80,-3.9999999999999996,-5.000000000000135,0.5026918524025049,0.5026918524025049,1.9892902485304276,0
